PLACE_NAME,PROJECT_NAME,Location_Type,Housing_Type,RB Division,Status,Owned,Managed,Developed,YARDI Property Code_2 ,YARDI Job Code_2,ADDRESS,Borough,Boro_code_2,BLOCK,BLOCK_mapping,LOT,BBL,BBL_mapping,BIN,TOTALUNITS,Total Unit PROJECT_2,OWNER_ENTITY,Ownership %_2,Housing_Services, Tax Credit_2 , Tax Credit Y/N , Section 8 Type , Section 8 Y/N , 610 Y/N , Our Role_2 ,Housing Type_2,Agency_2,Program Contact_2,Development Type aka Category_2,Systems Replaced_2,Construction Start Date_text,Construction Start Date_2,Construction Completion Date_text,Construction Completion Date_2,Permanent Loan Conversion Date_text,Permanent Loan Conversion Date_2,Dates of Management From_text,Dates of Management From _2,Dates of Management To_text,Dates of Management To _2,AMI/Populations served _2,Occupied or Vacant during construction _2, Total Construction Cost_Text , Total Construction Cost_PROJECT_2 , Total Development Cost_text , Total Development Cost_PROJECT_2 ,Acquisition date_text,Acquisition date _2,Construction Lender_2,Public or Private Perm Lender_2,Maturity Date,Partners_2,HUD FHA#_2,NYS Tax Credit BIN #_2,LIHTC Syndicator_2,BIN_properties,HPD/HDC Loan #,SHARS_properties,DEVEL DEAL TYPE_properties,GOVT PROGRAM_properties,Agency Contact_properties,TDC_properties,TAXCREDIT_properties,TC UNITS_properties,Lead Agency_properties,COMMENT_properties,YEARBUILT_properties,DATE ACQUIRED_properties,DATEMANAGED_properties,CONST COMPLETED DATE_properties,PERM CONVERSION DATE_properties,FAR_properties,MAXFAR_properties,BUILTFAR_properties,AVAILFAR_properties,BLDGSOWNED,BLDGSMNGED,BLDGS DEVD,BLDGSQFT_properties,ZONISQFT_properties,LOTSQFT_properties,,OTHRSQFT_properties,PARKING_properties,STORIES_properties,SUPUNITS_properties,TOTALUNITS_properties,UNITSOWNED_properties,UNITSMNGED_properties,UNITSSERVICED_properties,MNGEDONLY_properties,LIHTCUNITS_properties,PBVUNITS_properties,COMMSPACES_properties,4BR_properties,3BR_properties,2BR_properties,1BR_properties,0BR_properties,RBDEPTNUM_properties,REGISTRATION_properties,Commercial Unit,Address_commercial,Owner/Entity_commercial,Tenant's Name or Leasee_commercial,Lessee Type_commercial,% RB Ownership_commercial,Permitted Use_commercial,Actual Use_commercial,Comm SqFt Leased_commercial,Current Yardi    T-Code_commercial,Address_program,Division_program,Senior Center name_program,Senior Center director_program,Programs_program,AKA_program
Bethany Senior Terraces ,Bethany Senior Terraces,Residential,Senior,Housing,Operational,Owned,Managed,Developed,bethany,Bethany,610 East 40th Street Brooklyn NY 11203,Brooklyn,3,4973,4973,16,3049730016,3049730016,3112625,58,58,Bethany MH HDFC,100%,ESSHI, 9% LIHTC ,,,,, D , RH , HPD/HCR , TBD , NC  , N/A ,9/15/2022,9/15/2022,10/1/2024,10/1/2024,1/15/2025,1/15/2025,9/15/2022,9/15/2022, present ,7/16/2026,TBD,Vacant," $ 29,950,823.00 "," $ 29,950,823.00 "," $ 48,041,648.00 "," $ 48,041,648.00 ",Sep-19,9/1/2019,Webster,"HCR, HPD",,RB Only,,,NEF,3112625,,20210021,New Construction,HPD SARA,,,HCR 9% LIHTC,,,,2024,9/12/2018,9/12/2018,,,,1.28,,,1,1,1,39900,,,0,,,4,1,58,58,58,0,0,,,0,0,1,0,11,46,,,,"604 East 40th Street, Brooklyn",Bethany MH LLC,,,,,,,,,,,,,
Bethany Community Space,Bethany Senior Terraces,RB Service Site,non-housing,Housing,Operational,Owned,Managed,,,,610 East 40th Street Brooklyn NY 11203,,,,4973,16,3049730016,3049730016,,0,,Bethany MH HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,1,,,Flex Community Space,no lease,100%,community,flex community space,,,,,,,,
Oko Farms (Bethany Aquaponics Greenhouse),Bethany Senior Terraces,Urban Farm,non-housing,Housing,Operational,Owned,Managed,,,,616 East 40th Street Brooklyn NY 11203,Brooklyn,3,4973,4973,16,3049730016,3049730016,,0,,Bethany MH HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,1,,,,,,,,,,,,,,,
Bartlett Crossing,Broadway Triangle Site A1 - Bartlett Crossing,Residential,Multi-Family,Housing,Construction,Owned,Not managed,,BartCros,,"667 Flushing Ave, Brooklyn, NY 11206",Brooklyn,3,2272,2272,"49,51,52,53,108",TBD,3022720049,TBD,51,72,Bartlett Crossing HDFC,15%,, TBD ,,,,, D/JV , RH , HPD , TBD , NC  , N/A ,TBD,,TBD,1/1/2028,TBD,,TBD,, TBD ,,TBD,TBD, TBD , TBD ,TBD, TBD ,TBD,,TBD,TBD,,"St Nicks, Los Sures, UJO",,,TBD,,,,New Construction,,,,TBD,,,,,,,,,,,,,0,0,,,,,,,,,,51,0,0,0,0,,,,0,0,0,0,0,,,,667 Flushing,Bartlett Crossing Community LLC,TBD,3rd Party,15%,retail,TBD,,,,,,,,
Bartlett Crossing,Broadway Triangle Site A2 - Bartlett Crossing,Residential,Multi-Family,Housing,Construction,Owned,Not managed,,BartCros,,"31 Bartlett Street, Brooklyn, NY 11206",Brooklyn,3,2269,2269,52,TBD,3022690052,TBD,21,72,Bartlett Crossing HDFC,15%,, TBD ,,,,, D/JV , RH , HPD , TBD , NC  , N/A ,TBD,,TBD,1/1/2028,TBD,,TBD,, TBD ,,TBD,TBD, TBD , TBD ,TBD, TBD ,TBD,,TBD,TBD,,"St Nicks, Los Sures, UJO",,,TBD,,,,New Construction,,,,TBD,,,,,,,,,,,,,0,0,,,,,,,,,,28,0,0,0,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Broadway Commons,Broadway Triangle Site B - Broadway Commons,Pre-Dev Site,Multi-Family,Housing,Predevelopment,Not owned,Not managed,,BroadCom,,"35 Bartlett Street, Brooklyn, NY, 11206",Brooklyn,3,2269,2269,"14,16,17,18, 45, 47, 48, 49, 50",TBD,3022690050,TBD,89,89,Broadway Commons HDFC,15%,, TBD ,,,,, D/JV , RH , HPD , TBD , NC  , N/A ,TBD,,TBD,6/1/2029,TBD,,TBD,, TBD ,,TBD,TBD, TBD , TBD ,TBD, TBD ,TBD,,TBD,TBD,,"St Nicks, Los Sures, UJO",,,TBD,,,,New Construction,,,,TBD,,,,,,,,,,,,,0,0,,,,,,,,,,82,0,0,0,0,,,,0,0,0,0,0,,,,TBD,Broadway Δ Site B,TBD,no lease,15%,community,flex community space,,,,,,,,
Broadway Commons,Broadway Triangle Site B - Broadway Commons,Pre-Dev Site,Multi-Family,Housing,Predevelopment,Not owned,Not managed,,,,"74 Gerry Street, Brooklyn, NY, 11206",Brooklyn,3,2269,2269,"14,16,17,18, 45, 47, 48, 49, 50",TBD,3022690016,TBD,82,82,Broadway Commons HDFC,15%,, TBD ,,,,,, RH ,,, NC  ,,,,TBD,6/1/2029,,,,,  -   ,,,,,,TBD, TBD ,,,,,,"St Nicks, Los Sures, UJO",,,,,,,New Construction,,,,TBD,,,,,,,,,,,,,0,0,,,,,,,,,,89,0,0,0,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
St. Nicks Alliance Workforce Development Center,Broadway Triangle Site C - Throop Corners,3rd Party Service Site,non-housing,Housing,Operational,Owned,Not managed,,,,92 Throop Avenue Brooklyn NY 11206,,,,,,,,,0,,Throop Corners HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,1,,Throop Corners Community LLC,St. Nicks Workforce Development Center,3rd Party,35%,community,social services,,,,,,,,
Throop Corners,Broadway Triangle Site C - Throop Corners,Residential,Multi-Family,Housing,Operational,Owned,Not managed,Developed,triangle,Triangle,88 Throop Avenue Brooklyn NY 11206,Brooklyn,3,2269,2269,25,3022690025,3022690025,TBD,140,140,Throop Corners HDFC,35%,ESSHI - St Nicks Alliance, 4% LIHTC  ,,,,, D/JV , RH , HPD/HDC , TBD , NC  , N/A ,7/5/2022,7/5/2022,8/1/2024,8/1/2024,1/15/2025,1/15/2025,7/5/2022,7/5/2022, TBD ,,"Multi-Family: Extremely-Low to Moderate Income, Homeless Set-Aside",Vacant," $ 62,050,839.00 "," $ 62,050,839.00 "," $ 89,890,422.00 "," $ 89,890,422.00 ",7/5/2022,7/5/2022,TD Bank,"HDC, HPD",,"St Nicks, Los Sures, UJO",,,Enterprise,,,,New Construction,HPD ELLA,,,HPD 4% LIHTC,,,,,,,,,,,,,1,0,1,,,29999,0,,,,,140,140,0,0,0,,,1,18,19,15,61,27,,,,88 Throop Avenue,,,,,,,,,,,,,,
Bushwick Alliance,Bushwick Alliance,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,272jeff,alliance,272 Jefferson Street Brooklyn NY 11237,Brooklyn,3,3175,3175,13,3031750013,3031750013,3326189,4,28,Bushwick Alliance HDFC,50%,, 9% LIHTC ,,,,, D/JV , RH , HPD , HPD NCP , NC  , N/A ,12/19/2023,12/19/2023,7/19/2026,7/19/2026,TBD,,11/21/2003,11/21/2003, present ,7/16/2026,TBD,Vacant," $ 16,152,483.00 "," $ 16,152,483.00 "," $ 25,394,904.00 "," $ 25,394,904.00 ",TBD ,,Webster Bank,HPD,,St. Nicks,,,NEF,3326189,,,Preservation Rehab,HPD NCP,,,HPD 9% LIHTC,,,,2026,1/15/2004,1/15/2004,,,,,,,1,1,1,,,,0,,0,4,,4,0,0,,,,,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,
Bushwick Alliance,Bushwick Alliance,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,332eld,alliance,332 Eldert Street Brooklyn NY 11237,Brooklyn,3,3419,3419,24,3034190024,3034190024,3079122,4,28,Bushwick Alliance HDFC,50%,, 9% LIHTC ,,,,, D/JV , RH , HPD , HPD NCP , NC  , N/A ,12/19/2023,12/19/2023,7/19/2026,7/19/2026,TBD,,11/21/2003,11/21/2003, present ,7/16/2026,TBD,Vacant," $ 16,152,483.00 "," $ 16,152,483.00 "," $ 25,394,904.00 "," $ 25,394,904.00 ",TBD ,,Webster Bank,HPD,,St. Nicks,,,NEF,3079122,,,New Construction,HPD NCP,,,HPD 9% LIHTC,,,,2026,7/1/2018,7/1/2018,,,,,,,1,1,1,,,,0,,0,3,,4,0,0,,,,,0,0,0,3,1,0,,,,,,,,,,,,,,,,,,
Bushwick Alliance,Bushwick Alliance,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,63stock,alliance,63 Stockholm Street Brooklyn NY 11221,Brooklyn,3,3243,3243,65,3032430065,3032430065,3325516,20,28,Bushwick Alliance HDFC,50%,, 9% LIHTC ,,,,, D/JV , RH , HPD , HPD NCP , NC  , N/A ,12/19/2023,12/19/2023,7/19/2026,7/19/2026,TBD,,11/21/2003,11/21/2003, present ,7/16/2026,TBD,Vacant," $ 16,152,483.00 "," $ 16,152,483.00 "," $ 25,394,904.00 "," $ 25,394,904.00 ",TBD ,,Webster Bank,HPD,,St. Nicks,,,NEF,3325516,,,New Construction,HPD NCP,,,HPD 9% LIHTC,,,,2026,,,,,,,,,1,1,1,,,,0,,0,4,1,20,0,0,,,,,0,0,0,7,8,5,,,,,,,,,,,,,,,,,,
Bushwick Gardens,Bushwick Gardens CoOp,Residential,Co-Op,None,Operational,Not owned,Not managed,Developed,,,86 Beaver Street Brooklyn NY 11206,Brooklyn,3,3137,3137,1006,3031371006,3031371006,3000000,0,0,Bushwick Garden Apt Corp,0%,,,,,,,,,,,,,,,3/1/2006,3/1/2006,,,,,,,Co-Operative Homeownership,,,,,,,,,,,,,,,3393923,,,New Construction,,,,None,,,,2008,10/1/2008,10/1/2008,,,,,,,0,0,1,171000,,,0,,,8,0,0,0,0,,88,,,0,0,0,0,0,0,111,381679,,,88 units of co-op,,,,,,,,,,,,,
Bushwick Gardens - Not sure,Bushwick Gardens Retail,RB Service Site,non-housing,Housing,Operational,Owned,Not managed,,,,504 Bushwick Avenue Brooklyn NY 11206,Brooklyn,3,3137,3137,1005,3031371005,3031371005,3393923,0,0,Bushwick Gardens Retail LLC,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,1,,,,,,,,,,,,,,,
RiseBoro - Wellness Rising & Food Pantry,Bushwick Gardens Retail,RB Service Site,non-housing,Health,Operational,Owned,Not managed,,bwgrdcom,,518 Bushwick Avenue Brooklyn NY 11206,Brooklyn,3,3137,3137,1002,3031371002,3031371002,3393923,0,0,Bushwick Gardens Retail LLC,100%,Wellness Rising, None ,,,,, D , Commercial , HDC ,, NC , All ,9/30/2005,9/30/2005,10/1/2008,10/1/2008,10/1/2008,10/1/2008,9/30/2005,9/30/2005, present ,7/16/2026,Commercial/CSF,Vacant," $ 17,182,586.00 "," $ 17,182,586.00 "," $ 25,324,277.00 "," $ 25,324,277.00 ",9/30/2005,9/30/2005,BofA,BofA,,RB Only,,,N/A,3393923,,,New Construction,,,,None,,,,,10/1/2008,10/1/2008,,,,,,,0,0,,,,,,,,,,0,0,0,,,,,1,0,0,0,0,0,,,1,518 Bushwick,Bushwick Gardens Retail LLC,RiseBoro - Wellness Rising,RB Affiliate,100%,community,social services,"5,000",,518 Bushwick,Empowerment,,,Food Pantry,
AHRC,Bushwick Gardens Retail,3rd Party Service Site,non-housing,Housing,Operational,Owned,Not managed,,bwgrdcom,,522 Bushwick Avenue Brookyn NY 11206,Brooklyn,3,3137,3137,1004,3031371004,3031371004,3393923,0,0,Bushwick Gardens Retail LLC,100%,, None ,,,,, D , Commercial , HDC ,, NC , All ,9/30/2005,9/30/2005,10/1/2008,10/1/2008,10/1/2008,10/1/2008,9/30/2005,9/30/2005, present ,7/16/2026,Commercial/CSF,Vacant," $ 17,182,586.00 "," $ 17,182,586.00 "," $ 25,324,277.00 "," $ 25,324,277.00 ",9/30/2005,9/30/2005,BofA,BofA,,RB Only,,,N/A,3393923,,,New Construction,,,,None,,,,,10/1/2008,10/1/2008,,,,,,,0,0,,,,,,,,,,0,0,0,,,,,1,0,0,0,0,0,,,1,522 Bushwick,Bushwick Gardens Retail LLC,AHRC (Special Ed School),3rd Party,100%,community,social services,"9,000",T0004091,,,,,,
Bushwick Gardens Parking Lot,Bushwick Gardens Retail,Parking Lot,non-housing,Housing,Operational,Owned,Not managed,,bwgrdcom,,68 Garden Street Brooklyn NY 11206,Brooklyn,3,3137,3137,1001,3031371001,3031371001,3393923,0,0,Bushwick Gardens Retail LLC,100%,, None ,,,,, D , Commercial , HDC ,, NC , All ,9/30/2005,9/30/2005,10/1/2008,10/1/2008,10/1/2008,10/1/2008,9/30/2005,9/30/2005, present ,7/16/2026,Commercial/CSF,Vacant," $ 17,182,586.00 "," $ 17,182,586.00 "," $ 25,324,277.00 "," $ 25,324,277.00 ",9/30/2005,9/30/2005,BofA,BofA,,RB Only,,,N/A,3393923,,,New Construction,,,,None,,,,2008,10/1/2008,10/1/2008,,,,,,,0,0,,,,,,,1,,,0,0,0,,,,,1,0,0,0,0,0,,,1,,,,,,,,,,,,,,,
RiseBoro - Empowerment Center,Bushwick Gardens Retail,RB Service Site,non-housing,Empowerment,Operational,Owned,Not managed,,bwgrdcom,,90 Beaver Street Brooklyn NY 11206,Brooklyn,3,3137,3137,1003,3031371003,3031371003,3000000,0,0,Bushwick Gardens Retail LLC,100%,, None ,,,,, D , Commercial , HDC ,, NC , All ,9/30/2005,9/30/2005,10/1/2008,10/1/2008,10/1/2008,10/1/2008,9/30/2005,9/30/2005, present ,7/16/2026,Commercial/CSF,Vacant," $ 17,182,586.00 "," $ 17,182,586.00 "," $ 25,324,277.00 "," $ 25,324,277.00 ",9/30/2005,9/30/2005,BofA,BofA,,RB Only,,,N/A,3000000,,,New Construction,,,,None,,,,2008,10/1/2008,10/1/2008,,,,,,,0,0,,,,,,,,,,0,0,0,,0,,,1,0,0,0,0,0,,,1,90 Beaver,Bushwick Gardens Retail LLC,RiseBoro - HomeBase ,RB Affiliate,100%,community,social services,"6,181",,"90 Beaver St, Brooklyn, NY 11206",Empowerment,,,"Bushwick Homebase; Home 4 Good; Steps From Home-Coney Island; Community Outreach; Economic Empowerment Programs; Financial Coaching; Level Up! Workforce Development; Works Plus; Our Food; Central Brooklyn Food Democracy Project; Advance Health Equity for Diabetes
 (ACED); Assistance Programs for Chronic Disease Prevention and Control 
(ACTion)",
Casa Pasiva,Casa Pasiva,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,104casa,,104 Grove Street Brooklyn NY 11221      ,Brooklyn,3,3323,3323,11,3033230011,3033230011,3076081,23,146,Casa Pasiva HDFC,100%,NYSSHP, LIHTC ,,,,, D , RH ," HPD, HFA ",," MR, passive rehab ",  6 ,8/1/2019,8/1/2019,10/1/2022,10/1/2022,1/1/2024,1/1/2024,1/1/1989,1/1/1989, present ,7/16/2026,"Multi-Family: Extremely-Low to Low Income, Homeless Set-Aside",Occupied," $ 31,532,997.00 "," $ 31,532,997.00 "," $ 64,981,734.00 "," $ 64,981,734.00 ",,,Chase ,"HPD, HDC",,RB Only,,,Richman,3076081,,,Preservation Rehab,"HDC, HPD Yr-15",,,HDC 4% LIHTC,,,Passive Rehab,1988,3/20/1996,3/20/1996,,,,,,,1,1,1,19548,,,0,,,4,1,23,23,23,,,,,0,0,6,17,0,0,30,317085,,,,,,,,,,,,,,,,
Casa Pasiva,Casa Pasiva,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,110casa,,110 Grove Street Brooklyn NY 11221,Brooklyn,3,3323,3323,14,3033230014,3033230014,3076082,23,146,Casa Pasiva HDFC,100%,NYSSHP, LIHTC ,,,,, D , RH ," HPD, HFA ",," MR, passive rehab ",  6 ,8/1/2019,8/1/2019,10/1/2022,10/1/2022,1/1/2024,1/1/2024,,, present ,7/16/2026,"Multi-Family: Extremely-Low to Low Income, Homeless Set-Aside",Occupied," $ 31,532,997.00 "," $ 31,532,997.00 "," $ 64,981,734.00 "," $ 64,981,734.00 ",,,Chase ,"HPD, HDC",,RB Only,,,Richman,3076082,,,Preservation Rehab,"HDC, HPD Yr-15",,,HDC 4% LIHTC,,,Passive Rehab,1988,3/20/1996,3/20/1996,,,,,,,1,1,1,19548,,,0,,,4,0,23,23,23,,,,,0,0,6,17,0,0,30,317086,,,,,,,,,,,,,,,,
Casa Pasiva,Casa Pasiva,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,116casa,,116 Grove Street Brooklyn NY 11221,Brooklyn,3,3323,3323,17,3033230017,3033230017,3076083,16,146,Casa Pasiva HDFC,100%,, LIHTC ,,,,, D , RH ," HPD, HFA ",," MR, passive rehab ",  6 ,8/1/2019,8/1/2019,10/1/2022,10/1/2022,1/1/2024,1/1/2024,7/29/1993,7/29/1993, present ,7/16/2026,"Multi-Family: Extremely-Low to Low Income, Homeless Set-Aside",Occupied," $ 31,532,997.00 "," $ 31,532,997.00 "," $ 64,981,734.00 "," $ 64,981,734.00 ",,,Chase ,"HPD, HDC",,RB Only,,,Richman,3076083,,,Preservation Rehab,"HDC, HPD Yr-15",,,HDC 4% LIHTC,,,Passive Rehab,1993,3/20/1996,3/20/1996,,,,,,,1,1,1,14000,,,0,,,4,1,16,16,16,,,,,0,0,0,14,2,0,245,339367,,,,,,,,,,,,,,,,
Casa Pasiva,Casa Pasiva,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,120casa,,120 Grove Street Brooklyn NY 11221,Brooklyn,3,3323,3323,17,3033230017,3033230017,3342269,16,146,Casa Pasiva HDFC,100%,, LIHTC ,,,,, D , RH ," HPD, HFA ",," MR, passive rehab ",  6 ,8/1/2019,8/1/2019,10/1/2022,10/1/2022,1/1/2024,1/1/2024,7/29/1993,7/29/1993, present ,7/16/2026,"Multi-Family: Extremely-Low to Low Income, Homeless Set-Aside",Occupied," $ 31,532,997.00 "," $ 31,532,997.00 "," $ 64,981,734.00 "," $ 64,981,734.00 ",,,Chase ,"HPD, HDC",,RB Only,,,Richman,3342269,,,Preservation Rehab,"HDC, HPD Yr-15",,,HDC 4% LIHTC,,,Passive Rehab,1993,3/20/1996,3/20/1996,,,,,,,1,1,1,14000,,,0,,,4,0,16,16,16,,,,,0,0,0,14,2,0,245,339368,,,,,,,,,,,,,,,,
Casa Pasiva,Casa Pasiva,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,harmanca,,160 Harman Street Brooklyn NY 11221,Brooklyn,3,3286,3286,16,3032860017,3032860017,3342637,14,146,Casa Pasiva HDFC,100%,, LIHTC ,,,,, D , RH ," HPD, HFA ",," MR, passive rehab ",  6 ,8/1/2019,8/1/2019,10/1/2022,10/1/2022,1/1/2024,1/1/2024,4/18/1995,4/18/1995, present ,7/16/2026,"Multi-Family: Extremely-Low to Low Income, Homeless Set-Aside",Occupied," $ 31,532,997.00 "," $ 31,532,997.00 "," $ 64,981,734.00 "," $ 64,981,734.00 ",,,Chase ,"HPD, HDC",,RB Only,,,Richman,3342637,,,Preservation Rehab,"HDC, HPD Yr-15",,,HDC 4% LIHTC,,,Passive Rehab,1995,6/1/1995,6/1/1995,,,,,,,1,1,1,10000,,,0,,,4,1,14,14,14,,,,,0,0,0,14,0,0,33,377169,,,,,,,,,,,,,,,,
Casa Pasiva,Casa Pasiva,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,harmanca,,173 Harman Street Brooklyn NY 11221,Brooklyn,3,3276,3276,41,3032760041,3032760041,3342259,14,146,Casa Pasiva HDFC,100%,, LIHTC ,,,,, D , RH ," HPD, HFA ",," MR, passive rehab ",  6 ,8/1/2019,8/1/2019,10/1/2022,10/1/2022,1/1/2024,1/1/2024,,, present ,7/16/2026,"Multi-Family: Extremely-Low to Low Income, Homeless Set-Aside",Occupied," $ 31,532,997.00 "," $ 31,532,997.00 "," $ 64,981,734.00 "," $ 64,981,734.00 ",,,Chase ,"HPD, HDC",,RB Only,,,Richman,3342259,,,Preservation Rehab,"HDC, HPD Yr-15",,,HDC 4% LIHTC,,,Passive Rehab,1995,6/1/1995,6/1/1995,,,,,,,1,1,1,10000,,,0,,,4,1,14,14,14,,,,,0,0,0,13,0,1,33,377170,,,,,,,,,,,,,,,,
Casa Pasiva,Casa Pasiva,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,harmanca,,181 Harman Street Brooklyn NY 11221,Brooklyn,3,3276,3276,39,3032760039,3032760039,3342258,14,146,Casa Pasiva HDFC,100%,, LIHTC ,,,,, D , RH ," HPD, HFA ",," MR, passive rehab ",  6 ,8/1/2019,8/1/2019,10/1/2022,10/1/2022,1/1/2024,1/1/2024,,, present ,7/16/2026,"Multi-Family: Extremely-Low to Low Income, Homeless Set-Aside",Occupied," $ 31,532,997.00 "," $ 31,532,997.00 "," $ 64,981,734.00 "," $ 64,981,734.00 ",,,Chase ,"HPD, HDC",,RB Only,,,Richman,3342258,,,Preservation Rehab,"HDC, HPD Yr-15",,,HDC 4% LIHTC,,,Passive Rehab,1995,6/1/1995,6/1/1995,,,,,,,1,1,1,10000,,,0,,,4,1,14,14,14,,,,,0,0,0,13,0,1,33,377171,,,,,,,,,,,,,,,,
Casa Pasiva,Casa Pasiva,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,75casa,,75 Linden Street Brooklyn NY 11221,Brooklyn,3,3322,3322,4137,3033220026,3033220026,3076072,12,146,Casa Pasiva HDFC,100%,, LIHTC ,,,,, D , RH ," HPD, HFA ",," MR, passive rehab ",  6 ,8/1/2019,8/1/2019,10/1/2022,10/1/2022,1/1/2024,1/1/2024,5/16/1995,5/16/1995, present ,7/16/2026,"Multi-Family: Extremely-Low to Low Income, Homeless Set-Aside",Occupied," $ 31,532,997.00 "," $ 31,532,997.00 "," $ 64,981,734.00 "," $ 64,981,734.00 ",,,Chase ,"HPD, HDC",,RB Only,,,Richman,3076072,,,Preservation Rehab,"HDC, HPD Yr-15",,,HDC 4% LIHTC,,,Passive Rehab,1993,2/1/1993,2/1/1993,,,,,,,1,1,1,14000,,,0,,,4,,12,12,12,,,,,0,0,3,5,4,0,,333757,,,,,,,,,,,,,,,,
Casa Pasiva,Casa Pasiva,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,93casa,,93-95 Stockholm Street Brooklyn NY 11221,Brooklyn,3,3243,3243,48,3032430048,3032430048,3073774,14,146,Casa Pasiva HDFC,100%,, LIHTC ,,,,, D , RH ," HPD, HFA ",," MR, passive rehab ",  6 ,8/1/2019,8/1/2019,10/1/2022,10/1/2022,1/1/2024,1/1/2024,6/28/1996,6/28/1996, present ,7/16/2026,"Multi-Family: Extremely-Low to Low Income, Homeless Set-Aside",Occupied," $ 31,532,997.00 "," $ 31,532,997.00 "," $ 64,981,734.00 "," $ 64,981,734.00 ",,,Chase ,"HPD, HDC",,RB Only,,,Richman,3073774,,,Preservation Rehab,"HDC, HPD Yr-15",,,HDC 4% LIHTC,,,Passive Rehab,1995,6/20/1996,6/20/1996,,,,,,,1,1,1,14000,,,0,,,4,,14,14,14,,,,,0,0,0,8,6,0,66,336797,,,,,,,,,,,,,,,,
Coretta Scott King Apartments,Coretta Scott King,Residential,Senior,Housing,Operational,Owned,Managed,Developed,csk,,660 Jerome Street Brooklyn NY 11207,Brooklyn,3,4309,4309,1,3043090001,3043090001,3397178,51,51,Coretta Scott King HDFC,100%,HUD 202,  202 ,,,,, D , RH , HUD   ,, NC ,,12/13/2015,12/13/2015,9/15/2015,9/15/2015,3/1/2017,3/1/2017,12/13/2015,12/13/2015, present ,7/16/2026,HUD 202 Seniors,Vacant," $ 6,065,000.00 "," $ 6,065,000.00 "," $ 12,669,400.00 "," $ 12,669,400.00 ",12/13/2015,12/13/2015,HUD,HUD,,RB Only,012-EE356,,N/A,3397178,,,New Construction,HUD 202,,,HUD 202,,,,2015,7/14/2015,7/14/2015,,,,,,,1,1,1,,,,0,,,4,1,51,51,51,,,,,0,0,0,1,46,4,348,386267,,,,,,,,,,,,,,,,
BEACON,Education,RB Service Site,non-housing,Education,Operational,Not owned,Not managed,,,,"125 Covert Street, Brooklyn NY 11207",,,,,,,3034160001,3079027,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,"125 Covert Street, Brooklyn NY 11207",Education,,,BEACON,
COMPASS at P.S. 86,Education,RB Service Site,non-housing,Education,Operational,Not owned,Not managed,,,,"220 Irving Avenue, Brooklyn NY 11237",,,,,,,3032890027,3075109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,"220 Irving Avenue, Brooklyn NY 11237",Education,,,COMPASS at P.S. 86,
35 Starr Street,Education,RB Service Site,non-housing,Education,Operational,Not owned,Not managed,,,,"35 Starr Street, Brooklyn NY 11221",,,,,,,3031850001,3072497,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,"35 Starr Street, Brooklyn NY 11221",Education,,,,
