PLACE_NAME,PROJECT_NAME,Location_Type,Housing_Type,RB Division,Status,Owned,Managed,Developed,YARDI Property Code_2 ,YARDI Job Code_2,ADDRESS,Borough,Boro_code_2,BLOCK,BLOCK_mapping,LOT,BBL,BBL_mapping,BIN,TOTALUNITS,Total Unit PROJECT_2,OWNER_ENTITY,Ownership %_2,Housing_Services, Tax Credit_2 , Tax Credit Y/N , Section 8 Type , Section 8 Y/N , 610 Y/N , Our Role_2 ,Housing Type_2,Agency_2,Program Contact_2,Development Type aka Category_2,Systems Replaced_2,Construction Start Date_text,Construction Start Date_2,Construction Completion Date_text,Construction Completion Date_2,Permanent Loan Conversion Date_text,Permanent Loan Conversion Date_2,Dates of Management From_text,Dates of Management From _2,Dates of Management To_text,Dates of Management To _2,AMI/Populations served _2,Occupied or Vacant during construction _2, Total Construction Cost_Text , Total Construction Cost_PROJECT_2 , Total Development Cost_text , Total Development Cost_PROJECT_2 ,Acquisition date_text,Acquisition date _2,Construction Lender_2,Public or Private Perm Lender_2,Maturity Date,Partners_2,HUD FHA#_2,NYS Tax Credit BIN #_2,LIHTC Syndicator_2,BIN_properties,HPD/HDC Loan #,SHARS_properties,DEVEL DEAL TYPE_properties,GOVT PROGRAM_properties,Agency Contact_properties,TDC_properties,TAXCREDIT_properties,TC UNITS_properties,Lead Agency_properties,COMMENT_properties,YEARBUILT_properties,DATE ACQUIRED_properties,DATEMANAGED_properties,CONST COMPLETED DATE_properties,PERM CONVERSION DATE_properties,FAR_properties,MAXFAR_properties,BUILTFAR_properties,AVAILFAR_properties,BLDGSOWNED,BLDGSMNGED,BLDGS DEVD,BLDGSQFT_properties,ZONISQFT_properties,LOTSQFT_properties,,OTHRSQFT_properties,PARKING_properties,STORIES_properties,SUPUNITS_properties,TOTALUNITS_properties,UNITSOWNED_properties,UNITSMNGED_properties,UNITSSERVICED_properties,MNGEDONLY_properties,LIHTCUNITS_properties,PBVUNITS_properties,COMMSPACES_properties,4BR_properties,3BR_properties,2BR_properties,1BR_properties,0BR_properties,RBDEPTNUM_properties,REGISTRATION_properties,Commercial Unit,Address_commercial,Owner/Entity_commercial,Tenant's Name or Leasee_commercial,Lessee Type_commercial,% RB Ownership_commercial,Permitted Use_commercial,Actual Use_commercial,Comm SqFt Leased_commercial,Current Yardi    T-Code_commercial,Address_program,Division_program,Senior Center name_program,Senior Center director_program,Programs_program,AKA_program
857 Hart Street,857 Hart Street,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,857hart,,857 Hart Street Brooklyn NY 11237,Brooklyn,3,3220,3220,44,3032200044,3032200044,3073238,6,6,857 Hart HDFC,100%,, None ,,,,, D , RH , HPD ,, SR , All ,8/19/2005,8/19/2005,3/26/2008,3/26/2008,N/A,,8/19/2005,8/19/2005, present ,7/16/2026,"Multi-Family: Temp Residents, Shelter Population",Vacant," $ 984,000.00 "," $ 984,000.00 "," $ 1,383,801.00 "," $ 1,383,801.00 ",8/19/2005,8/19/2005,HPD,HPD  ,,RB Only,,,N/A,3073238,,,Preservation Rehab,,,,None,,,Safe House,2006,3/26/2008,3/26/2008,,,,,,,1,1,1,5250,,2500,0,,,3,0,6,6,6,,,,,1,0,0,6,0,0,,,,,,,,,,,,,,,,,,
RiseBoro - Safe House,857 Hart Street,RB Service Site,non-housing,Housing,Operational,Owned,Managed,,857hart,,857 Hart Street Brooklyn NY 11237,,,,3220,44,3032200044,3032200044,,0,,857 Hart HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,1,,,Safe House,,,,,,,,,,,,
924 Hart Street ,924 Hart Street,Residential,Multi-Family,Housing,Operational,Not owned,Managed,Developed,924hart,,924 Hart Street Brooklyn NY 11237,Brooklyn,3,3237,3237,18,3032370018,3032370018,3073643,6,6,924 Hart Street HDFC,0%,, None ,,,,, D , RH , N/A ,,,,,,5/4/1993,5/4/1993,,,5/4/1993,5/4/1993, present ,7/16/2026,,,,,,,,,,,,RB Only,,,N/A,3073643,,,Preservation Rehab,,,,None,,,,1998,6/1/1993,6/1/1993,,,,,,,0,1,1,5100,,,0,,,3,0,6,0,6,,6,,,0,0,0,6,0,0,,,,,,,,,,,,,,,,,,
Alafia A1-A2,Alafia A1-A2,Residential,Supportive,Housing,Construction,Owned,Not managed,,,,"935 Erskine Avenue, Brooklyn, NY, 11239",Brooklyn,3,4586,4586,300,TBD,3045860300,TBD,424,424,Alafia 2 Owner LLC,26%,15/15, 4% LIHTC ,,,,, D/JV , RH , HFA/HCR ,, NC  , N/A ,1/1/2025,1/1/2025,8/1/2027,8/1/2027,TBD,TBD,N/A,N/A, N/A ,N/A,"Homeless, Formerly Incarcerated, ESSHI, NYC 15/15",Vacant," $ 255,002,109.00 "," $ 255,002,109.00 "," $ 423,199,353.00 "," $ 423,199,353.00 ",12/20/2024,12/20/2024,"BofA, Merchants",Freddie TEL,,"SUS, Apex, L&M",,,Merchants,,,,New Construction,,,,TBD,,,,,,,,,,,,,2,0,,,,,,,,,,424,0,0,0,0,,,0,0,0,0,0,0,,,,Alafia Phase II (Buildings A1-A2 and B1),TBD,TBD,TBD,community,TBD,,,,,,,,,
Alafia B1,Alafia B1,Residential,Supportive,Housing,Construction,Owned,Not managed,,,,"882 Fountain Avenue, Brooklyn, NY, 11239",Brooklyn,3,4586,4586,300,TBD,3045860300,TBD,209,209,Alafia 2 Owner LLC,26%,15/15, 4% LIHTC ,,,,, D/JV , RH , HFA/HCR ,, NC  , N/A ,1/1/2025,1/1/2025,8/1/2027,8/1/2027,TBD,TBD,N/A,N/A, N/A ,N/A,"Multi-Family, Low to Moderate Income",Vacant," $ 255,002,109.00 "," $ 255,002,109.00 "," $ 423,199,353.00 "," $ 423,199,353.00 ",12/20/2024,12/20/2024," BofA, Merchants ",Freddie TEL,,"SUS, Apex, L&M",,,Merchants,,,,New Construction,,,,TBD,,,,,,,,,,,,,1,0,,,,,,,,,,209,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Alafia C1-C2,Alafia C1-C2,Residential,Supportive,Housing,Operational,Owned,Not managed,Developed,,,"975 Erskine Avenue, Brooklyn, NY, 11239",Brooklyn,3,4586,4586,1601-1604,TBD,3045860495,TBD,452,452,VBK C1 Owner LLC,16%,15/15, TBD ,,,,, D/JV , RH , HFA/HCR ,, NC ,,6/1/2022,6/1/2022,1/1/2025,1/1/2025,TBD,TBD,N/A,, N/A ,,,Vacant," $ 161,524,000.00 "," $ 161,524,000.00 "," $ 274,557,372.00 "," $ 274,557,372.00 ",TBD,,TBD,TBD,,"SUS, Apex, L&M",,,Wells Fargo,,,,New Construction,,,,TBD,,,,,,,,,,,,,2,0,2,,,,0,,,,,452,452,0,0,0,,,0,0,0,0,0,0,,,,Alafia Phase I (Buildings C1-C2),TBD,TBD,TBD,community,TBD,,,,,,,,,
Alafia C3,Alafia C3,Residential,Supportive,Housing,Operational,Owned,Not managed,Developed,,,"20 Vital Avenue, Brooklyn, NY 11239",Brooklyn,3,4586,4586,"470, 520, 525",TBD,3045860470,TBD,124,124,C3 Owner LLC,16%,15/15, TBD ,,,,, D/JV , RH , HFA/HCR ,, NC , TBD ,8/1/2022,8/1/2022,2/1/2025,2/1/2025,TBD,TBD,N/A,, TBD ,,TBD,Vacant," $ 65,632,560.00 "," $ 65,632,560.00 "," $ 99,182,767.00 "," $ 99,182,767.00 ",TBD,,TBD,TBD,,"SUS, Apex, L&M",,,Wells Fargo,,,,New Construction,,,,TBD,,,,,,,,,,,,,1,0,1,,,,0,,,,,124,124,0,0,0,,,0,0,0,0,0,0,,,,Alafia Phase I (Buildings C3),TBD,TBD,TBD,community,TBD,,,,,,,,,
Alafia Future Sites,Alafia Future Sites,Residential,Supportive,Housing,Predevelopment,Owned,Not managed,,,,"TBD, Brooklyn, NY, 11239",Brooklyn,3,4586,4586,300,TBD,3045860300,TBD,606,606,C1 C2 Vital BK HDFC,16%,15/15, TBD ,,,,, D/JV , RH , HFA/HCR ,, NC  ,,,,TBD,1/1/2030,,,,,  -   ,,,,,,TBD, TBD ,,,,,,"SUS, Apex, L&M",,,,,,,New Construction,ESDC,,,TBD,,,,,,,,,,,,,0,0,,,,,,,,,,1439,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Alafia P8,Alafia P8,Parking Lot,non-housing,Housing,Predevelopment,Owned,Not managed,,,,"TBD, Brooklyn, NY, 11239",,,,,,TBD,3045860510,,0,,VBK C1 Owner LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Baisley Pond Park Residences,Baisley Pond (fka JFK Hilton),Residential,Supportive,Housing,Operational,Owned,Managed,Developed,Baisley,Baisley,"143-06 135th Ave, Jamaica, NY, 11436",Queens,4,12099,12099,30,4031209930,4031209930,TBD,318,318,RB 135th Ave HDFC,50%,Supportive - AHS, TBD ,,,,, D/JV ," RH, CF ", HPD/HDC , TBD , TBD , TBD ,12/14/2023,12/14/2023,7/22/2025,7/22/2025,TBD,TBD,7/22/2025,7/22/2025, TBD ,7/16/2026,Multi-Family: Extremely-Low to Low Income,TBD," $ 47,921,012.00 "," $ 47,921,012.00 "," $ 166,887,884.00 "," $ 166,887,884.00 ",TBD,,TBD,TBD,,Slate,,,TBD,,,,New Construction,Master Lease,,,None,,,Master Lease,2025,,,,,,,,,1,1,1,,,,0,,,,1,318,318,318,191,0,,,1,0,1,10,33,274,,,,"143-06 135th Ave, Queens, NY, 11436",RB 135th Avenue HDFC,TBD,RB Affiliate,TBD,community,Commercial Kitchen?,,,"143-06 135th Avenue, South Ozone Park",Supportive Services,,,Baisley Pond Park Residences,
