Property,Unit,Unit Type,Date Available,Bedrooms,Rent
alliance,63-3C,BA0@50%,,0,"1,022.00"
326rock,310,326RHPS0,,0,"1,584.00"
326rock,415,326RHPS0,,0,"1,584.00"
326rock,710,326RHPS0,,0,"1,584.00"
115lind,115-3C,2b60,,2,"1,114.06"
326rock,322,326RHPS0,,0,"1,584.00"
326rock,236,326RHPS0,,0,"1,584.00"
bethany,309,BethStud,,0,"3,054.00"
bethany,308,BethStud,,0,"3,054.00"
326rock,1207,326RHPS0,,0,"1,584.00"
326rock,401,326RHPS2,,2,"1,918.00"
alliance,63-2C,BA0@70%,,0,"1,488.00"
alliance,63-2D,BA1@80%,,1,"2,159.00"
alliance,63-4B,BA1@70%,,1,"1,868.00"
alliance,63-4D,BA1@40%,,1,994.00
alliance,272-1,BA2@70%,,2,"2,233.00"
bethany,109,Beth3Br,,3,0.00
326rock,306,326R1@60,,1,"1,660.00"
326rock,119,326RHPS0,,0,"1,584.00"
326rock,609,326R2@60,,2,"1,992.00"
326rock,421,326RHPS0,,0,"1,584.00"
326rock,210,326RHPS0,,0,"1,584.00"
326rock,103,326RHPS0,,0,"1,584.00"
326rock,801,326R2@50,,2,"1,642.00"
alliance,272-4,BA2@80%,,2,"2,583.00"
326rock,112,326R1@50,,1,"1,368.00"
326rock,909,326R2@60,,2,"1,992.00"
73linden,11,73l1b80,,1,805.59
73linden,2,73l1b80,,1,849.97
326rock,910,326RHPS0,,0,"1,584.00"
326rock,218,326RHPS1,,1,"1,663.00"
alliance,63-4A,BA2@70%,,2,"2,233.00"
111lind,111-4B,pbv2b40,,2,"2,899.00"
326rock,1409,326R1@50,,1,"1,368.00"
326rock,328,326R1@50,,1,"1,368.00"
326rock,1401,326R2@60,,2,"1,992.00"
326rock,608,326RHPS0,,0,"1,584.00"
326rock,305,326RHPS0,,0,"1,584.00"
326rock,232,326RHPS0,,0,"1,584.00"
326rock,433,326RHPS0,,0,"1,584.00"
plazanc2,2G,plaza01,,1,757.00
326rock,102,326RHPS0,,0,"1,584.00"
326rock,107,326RHPS0,,0,"1,584.00"
326rock,413,326RHPS0,,0,"1,584.00"
326rock,703,326R3@50,,3,"1,897.00"
326rock,317,326R1@50,,1,"1,368.00"
326rock,1302,326R1@50,,1,"1,368.00"
326rock,304,326RHPS0,,0,"1,584.00"
326rock,213,326RHPS0,,0,"1,584.00"
326rock,414,326RHPS0,,0,"1,584.00"
326rock,434,326RHPS0,,0,"1,584.00"
326rock,231,326RHPS0,,0,"1,584.00"
326rock,313,326RHPS0,,0,"1,584.00"
