Property,Unit,Unit Type,Date Available,Bedrooms,Rent
sumner,10Q,SH0B50H,,0,"3,101.00"
sumner,4H,SH0B50H,,0,"3,101.00"
sumner,10M,SH0B50H,,0,"3,101.00"
sumner,6C,SH0B50H,,0,"3,101.00"
knickcom,3C,kc1b50,,1,727.55
sumner,5X,SH0B50,,0,"3,101.00"
sumner,3N,SH1B50N,,1,"3,186.00"
sumner,4D,SH0B50H,,0,"3,101.00"
sumner,7F,SH0B50H,,0,"3,101.00"
sumner,3V,SH0B50H,,0,"3,101.00"
hillsid,2C,HL0B50H,,0,"2,759.90"
sumner,4C,SH0B50,,0,"3,101.00"
hillsid,5Q,HL1B50,,1,"2,821.00"
sumner,2R,SH0B50,,0,"3,101.00"
sumner,10Z,SH0B50,,0,"3,101.00"
sumner,7J,SH0B50,,0,"3,101.00"
sumner,8S,SH0B50H,,0,"3,101.00"
sumner,4V,SH0B50,6/30/2025,0,"3,101.00"
sumner,6E,SH0B50,,0,"3,101.00"
plazanc2,6M,plaza01,,1,757.00
sumner,4K,SH0B50,,0,"3,101.00"
sumner,8N,SH1B50N,,1,"3,186.00"
hillsid,3P,HL0B50,,0,"2,759.90"
hillsid,7D,HL0B50,,0,"2,759.90"
hillsid,6G,HL0B50,,0,"2,759.90"
hillsid,2H,HL0B50,,0,"2,759.90"
sumner,7D,SH0B50,,0,"3,101.00"
gtsgrd2,2G,gtsg1b,,1,961.00
hillsid,8K,HL0B50N,,0,"2,759.90"
hillsid,7E,HL0B50,,0,"2,759.90"
hillsid,7J,HL0B50,,0,"2,759.90"
hillsid,7G,HL0B50,,0,"2,759.90"
sumner,2D,SH0B50N,,0,"3,101.00"
sumner,6F,SH0B50,,0,"3,101.00"
sumner,3Q,SH0B50,,0,"3,101.00"
sumner,8T,SH0B50,,0,"3,101.00"
hillsid,4E,HL0B50H,,0,"2,759.90"
hillsid,5F,HL0B50H,,0,"2,759.90"
sumner,3P,SH1B50H,,1,"3,186.00"
sumner,3L,SH0B50,,0,"3,101.00"
sumner,4J,SH0B50,,0,"3,101.00"
rheing,555-6G,rg2b50,,2,859.85
hillsid,8N,HL0B50H,3/16/2026,0,"2,759.90"
hillsid,2M,HL0B50,,0,"2,759.90"
hillsid,5L,HL0B50,,0,"2,759.90"
sumner,7Q,SH0B50,,0,"3,101.00"
sumner,6J,SH0B50,,0,"3,101.00"
hillsid,2A,HL0B50,,0,"2,759.90"
sumner,9B,SH1B50H,,1,"3,186.00"
sumner,5A,SH1B50H,,1,"3,186.00"
sumner,10A,SH1B50H,,1,"3,186.00"
hillsid,3V,HL0B50,,0,"2,759.90"
sumner,8J,SH0B50H,,0,"3,101.00"
hillsid,9T,HL1B50H,,1,"2,821.00"
sumner,8G,SH0B50,,0,"3,101.00"
sumner,8L,SH0B50,,0,"3,101.00"
hillsid,4N,HL0B50,,0,"2,759.90"
hillsid,2L,HL0B50,,0,"2,759.90"
hillsid,6M,HL0B50N,,0,"2,759.90"
hillsid,7H,HL0B50,,0,"2,759.90"
hillsid,9M,HL0B50,,0,"2,759.90"
hillsid,2K,HL0B50,,0,"2,759.90"
hillsid,4D,HL0B50,,0,"2,759.90"
hillsid,6V,HL0B50N,,0,"2,759.90"
cfbn2,5L,cfbc1b,,1,"2,005.00"
857hart,1A,857h2b60,,1,"1,426.61"
grovegar,316-3L,gg2b60,2/28/2025,2,857.14
sumner,8D,SH0B50,,0,"3,101.00"
hillsid,6P,HL0B50N,,0,"2,759.90"
sumner,3U,SH0B50,,0,"3,101.00"
hillsid,4K,HL0B50N,,0,"2,759.90"
csk,2F,1brcsk,,1,"1,368.00"
hillsid,6K,HL0B50N,,0,"2,759.90"
hillsid,7A,HL0B50N,,0,"2,759.90"
sumner,4G,SH0B50,12/6/2024,0,"3,101.00"
sumner,9A,SH1B50,,1,"3,186.00"
sumner,7R,SH0B50,,0,"3,101.00"
troutev2,3E,trev1bed,,1,"1,005.00"
sumner,3Y,SH0B50,,0,"3,101.00"
wb203k,1248-2FL,3bdrms,,3,"1,911.01"
sumner,5S,SH0B50,,0,"3,101.00"
sumner,6V,SH0B50,,0,"3,101.00"
sumner,5H,SH0B50,,0,"3,101.00"
sumner,6U,SH0B50H,,0,"3,101.00"
hillsid,6W,HL1B50H,8/11/2025,1,"2,821.00"
sumner,8Q,SH0B50,,0,"3,101.00"
sumner,8F,SH0B50,,0,"3,101.00"
hillsid,7F,HL0B50N,,0,"2,759.90"
cfbn2,3N,cfbc1b,,1,"2,005.00"
heights1,3A,rhi2b60,,2,"1,370.94"
sumner,7U,SH0B50,,0,"3,101.00"
sumner,9L,SH0B50,,0,"3,101.00"
hillsid,2N,HL0B50N,,0,"2,759.90"
gdwnpl2,6B,gdwn1b,,1,"2,004.00"
hillsid,2O,HL0B50N,,0,"2,759.90"
sumner,6A,SH1B50H,,1,"3,186.00"
hillsid,4L,HL0B50,,0,"2,759.90"
hillsid,6O,HL0B50N,,0,"2,759.90"
moffat,4B,mg1b,,1,971.00
sumner,8U,SH0B50,,0,"3,101.00"
hillsid,7Q,HL1B50H,4/15/2025,1,"2,821.00"
hillsid,9V,HL0B50,,0,"2,759.90"
hillsid,6L,HL0B50N,2/20/2026,0,"2,759.90"
hillsid,6J,HL0B50,,0,"2,759.90"
hillsid,3N,HL0B50,,0,"2,759.90"
hillsid,7K,HL0B50N,,0,"2,759.90"
hillsid,8M,HL0B50N,,0,"2,759.90"
hillsid,7M,HL0B50N,,0,"2,759.90"
sumner,7G,SH0B50,,0,"3,101.00"
hillsid,3A,HL0B50,,0,"2,759.90"
hillsid,9N,HL0B50,,0,"2,759.90"
hillsid,2F,HL0B50H,,0,"2,759.90"
sumner,2Q,SH0B50N,,0,"3,101.00"
hillsid,8J,HL0B50N,,0,"2,759.90"
gdwnpl2,4R,gdwn0b,,0,"1,784.00"
hillsid,2D,HL0B50H,,0,"2,759.90"
hillsid,4V,HL0B50N,,0,"2,759.90"
sumner,3K,SH0B50,,0,"3,101.00"
hillsid,7N,HL0B50N,,0,"2,759.90"
sumner,5K,SH0B50,,0,"3,101.00"
hillsid,7V,HL0B50N,,0,"2,759.90"
sumner,7T,SH0B50,,0,"3,101.00"
sumner,8V,SH0B50,6/4/2026,0,"3,101.00"
gtsgrd2,1F,gtsg1b,,1,961.00
renest,3M,re2b50,,2,909.84
hillsid,2P,HL0B50N,,0,"2,759.90"
gdwnpl2,3R,gdwn0b,,0,"1,784.00"
gdwnpl2,4D,gdwn1b,,1,"2,004.00"
sumner,6R,SH0B50,,0,"3,101.00"
hillsid,5V,HL0B50N,,0,"2,759.90"
cfbn2,1B,cfbc0b,,0,"1,793.00"
hillsid,7O,HL0B50N,,0,"2,759.90"
sumner,9T,SH0B50,,0,"3,101.00"
sumner,6Q,SH0B50,,0,"3,101.00"
hillsid,3C,HL0B50,,0,"2,759.90"
hillsid,6N,HL0B50N,,0,"2,759.90"
esper1,24-1,esp1b60,,1,"1,082.43"
sumner,9Y,SH0B50,,0,"3,101.00"
hillsid,5G,HL0B50N,,0,"2,759.90"
hillsid,3J,HL0B50N,,0,"2,759.90"
gdwnpl2,3J,gdwn0b,6/29/2026,0,"1,784.00"
sumner,8R,SH0B50N,10/23/2025,0,"3,101.00"
hillsid,4O,HL0B50N,,0,"2,759.90"
sumner,6G,SH0B50N,,0,"3,101.00"
troutev2,4M,trev1bed,,1,"1,005.00"
sumner,5G,SH0B50N,,0,"3,101.00"
sumner,5V,SH0B50,,0,"3,101.00"
hillsid,4P,HL0B50N,,0,"2,759.90"
hillsid,2E,HL0B50N,,0,"2,759.90"
rheing,533-5A,rg2b50,,2,859.23
hillsid,8V,HL0B50N,,0,"2,759.90"
hillsid,5P,HL0B50N,,0,"2,759.90"
hillsid,8L,HL0B50N,,0,"2,759.90"
hillsid,5K,HL0B50N,,0,"2,759.90"
sumner,3T,SH0B50N,,0,"3,101.00"
sumner,7E,SH0B50N,,0,"3,101.00"
hillsid,5J,HL0B50N,,0,"2,759.90"
sumner,10L,SH0B50,,0,"3,101.00"
sumner,6W,SH0B50N,,0,"3,101.00"
hillsid,3L,HL0B50N,,0,"2,759.90"
wbnrp,149-1A,2bdmkt,,2,"1,833.92"
melspi,348-1,msp2b50,,2,787.91
sumner,7H,SH0B50,10/1/2025,0,"3,101.00"
sumner,5L,SH0B50N,,0,"3,101.00"
sumner,7S,SH0B50H,,0,"3,101.00"
sumner,5C,SH0B50N,,0,"3,101.00"
hillsid,3H,HL0B50N,,0,"2,759.90"
sumner,3W,SH0B50N,,0,"3,101.00"
sumner,5Q,SH0B50N,,0,"3,101.00"
sumner,5Y,SH0B50N,,0,"3,101.00"
sumner,8C,SH0B50,,0,"3,101.00"
sumner,4Y,SH0B50N,,0,"3,101.00"
sumner,5F,SH0B50,,0,"3,101.00"
sumner,5B,SH1B50,,1,"3,186.00"
hillsid,5H,HL0B50N,,0,"2,759.90"
sumner,3A,SH1B50H,,1,"3,186.00"
sumner,9C,SH0B50,,0,"3,101.00"
sumner,4F,SH0B50,,0,"3,101.00"
hillsid,3M,HL0B50,,0,"2,759.90"
sumner,6T,SH0B50,,0,"3,101.00"
hillsid,3B,HL0B50,,0,"2,759.90"
sumner,8W,SH0B50,,0,"3,101.00"
sumner,8Y,SH0B50,,0,"3,101.00"
sumner,6D,SH0B50,,0,"3,101.00"
sumner,10S,SH0B50,,0,"3,101.00"
hillsid,3K,HL0B50N,,0,"2,759.90"
sumner,5U,SH0B50,,0,"3,101.00"
plazanc2,6F,plaza01,,1,757.00
sumner,10B,SH1B50,,1,"3,186.00"
sumner,7W,SH0B50,,0,"3,101.00"
sumner,9D,SH0B50,,0,"3,101.00"
sumner,2E,SH0B50N,,0,"3,101.00"
sumner,10Y,SH0B50,,0,"3,101.00"
sumner,3G,SH0B50N,,0,"3,101.00"
sumner,9J,SH0B50,,0,"3,101.00"
gtsgrd2,5J,gtsg1b,,1,961.00
sumner,7V,SH0B50N,,0,"3,101.00"
sumner,3E,SH0B50N,,0,"3,101.00"
grovegar,312G-1L,gg0b60,11/5/2025,0,"1,048.64"
heights2,2E,rhii2b60,,2,"1,137.18"
moffat,6D,mg1b,,1,971.00
plazanc2,6L,plaza01,,1,757.00
irvstock,244-4L,is1b60,,1,805.35
sumner,9M,SH0B50,,0,"3,101.00"
woodlawn,203,WD-203,,0,"1,760.00"
sumner,10C,SH0B50,,0,"3,101.00"
irvstock,244-2R,is2b60,,2,685.59
sumner,4Q,SH0B50N,,0,"3,101.00"
rheing,533-4I,rg2b60,,2,"1,080.39"
sumner,5T,SH0B50N,,0,"3,101.00"
irvstock,244-2L,is1b60,,1,860.02
schaeff,4F,1bed60%,,1,704.93
bethany,104,BethStud,,0,"3,054.00"
menn,2A,mu1b50,,1,740.14
stamm,27-2A,st1b60,,1,953.53
melrose,5E,ms2b60,,2,"1,116.49"
heights1,2E,rhi2b60,,2,"1,060.06"
plazanc2,3G,plaza01,,1,757.00
troutev2,4A,trev1bed,,1,"1,005.00"
hillsid,6U,HL1B50,,1,"2,821.00"
sun203k,3A,sun2b,,1,"3,092.00"
rheing,533-3C,rg1b50HI,,1,650.80
atleast,808,N0b60,,0,872.46
melrose,3C,ms3b60,,3,"1,233.11"
73linden,12,73l2b80,,2,985.09
sumner,2J,SH0B50,,0,"3,101.00"
wb203k,1278-2A,1bds,,1,785.85
woodlawn,402,WD-402,,0,"2,355.00"
bethany,319,BethStud,,0,"3,054.00"
bethany,115,BethStud,,0,"3,054.00"
bethany,205,BethStud,,0,"3,054.00"
bethany,203,Beth1BR,,1,"3,112.00"
bethany,117,BethStud,,0,"3,054.00"
bethany,210,BethStud,,0,"3,054.00"
bethany,318,BethStud,,0,"3,054.00"
bethany,107,BethStud,,0,"3,054.00"
bethany,402,BethStud,,0,"3,054.00"
bethany,102,Beth1BR,5/29/2026,1,"3,112.00"
heights2,6E,rhii2b60,,2,"1,116.27"
bethany,303,BethStud,3/30/2026,0,"3,054.00"
bethany,312,Beth1BR,,1,"3,112.00"
bethany,217,BethStud,,0,"3,054.00"
bethany,116,BethStud,,0,"3,054.00"
bethany,317,Beth1BR,,1,"3,112.00"
bethany,302,Beth1BR,,1,"3,112.00"
bethany,209,BethStud,,0,"3,054.00"
bethany,202,BethStud,,0,"3,054.00"
bethany,401,Beth1BR,,1,"3,112.00"
wbnrp,317-2A,1brlhl,,1,316.09
menn,1E,musuper,,2,"1,732.00"
csk,1C,1brcsk,,1,"1,368.00"
moffat,6G,mg1b,,1,971.00
moffat,3K,mg1balp,,1,971.00
bethany,103,BethStud,,0,"3,054.00"
bethany,213,Beth1BR,4/30/2026,1,"3,112.00"
bethany,206,BethStud,,0,"3,054.00"
bethany,215,BethStud,,0,"3,054.00"
knickcom,5F,kcsuper,,2,"1,732.00"
hillsid,9D,HL2BSUP,,2,"2,759.90"
wbtpt,869-2A,1bedhli,,1,959.44
atleast,104,N3b30PBV,,3,"2,422.00"
atleast,701,N2b60MIH,,2,"1,362.00"
woodlawn,105,WD-105,,1,"1,801.00"
bethany,101,BethStud,,0,"3,054.00"
bethany,207,BethStud,,0,"3,054.00"
bethany,316,BethStud,,0,"3,054.00"
bethany,306,BethStud,,0,"3,054.00"
bethany,219,BethStud,,0,"3,054.00"
bethany,108,BethStud,,0,"3,054.00"
bethany,304,BethStud,,0,"3,054.00"
harmanca,181-4D,.hp2b60.,,2,768.32
gdwnpl2,2Q,gdwn1b,,1,"2,004.00"
gdwnpl2,6Q,gdwn1b,,1,"2,004.00"
gdwnpl2,2H,gdwn0b,,0,"1,784.00"
gdwnpl2,5M,gdwn1b,,1,"2,004.00"
gdwnpl2,3M,gdwn1b,,1,"2,004.00"
plazanc2,4A,plaza01,,1,757.00
326rock,1301,326R2@60,,2,"1,992.00"
bethany,313,BethStud,,0,"3,054.00"
bethany,218,Beth1BR,,1,"3,112.00"
bethany,113,BethStud,,0,"3,054.00"
bethany,310,BethStud,,0,"3,054.00"
326rock,707,326R2@50,,2,"1,642.00"
326rock,809,326R2@60,,2,"1,992.00"
326rock,502,326R1@60,,1,"1,660.00"
326rock,908,326R0@50,,0,"1,095.00"
326rock,1306,326R2@50,,2,"1,642.00"
326rock,808,326R0@50,,0,"1,095.00"
326rock,1008,326R0@50,,0,"1,095.00"
326rock,113,326R1@50,,1,"1,368.00"
gdwnpl2,5D,gdwn1b,,1,"2,004.00"
gdwnpl2,2E,gdwn1b,,1,"2,004.00"
326rock,1003,326R3@60,,3,"2,301.00"
326rock,501,326R2@60,,2,"1,992.00"
326rock,1002,326R1@60,,1,"2,762.00"
326rock,226,326R1@60,,1,"1,660.00"
326rock,1303,326R3@60,,3,"2,301.00"
326rock,402,326R1@50,,1,"1,368.00"
326rock,903,326R3@50,,3,"1,897.00"
bethany,110,BethStud,,0,"3,054.00"
326rock,427,326RHPS1,,1,"1,663.00"
326rock,227,326RHPS1,,1,"1,663.00"
326rock,407,326RHPS2,,2,"1,918.00"
326rock,323,326RHPS1,,1,"1,663.00"
326rock,325,326RHPS1,,1,"1,663.00"
326rock,907,326RHPS2,,2,"1,918.00"
326rock,1001,326RHPS2,,2,"1,918.00"
326rock,327,326RHPS1,,1,"1,663.00"
326rock,312,326RHPS1,,1,"1,663.00"
