PROJECT_NAME,ADDRESS,Construction Completion Date_2,YEARBUILT_properties,Most recent rehab
Gates Plaza,1245 Gates Avenue Brooklyn NY 11237,11/8/2008,2009,2009
West Bushwick 203K,1126 Willoughby Avenue  Brooklyn NY 11237,3/9/2009,2008,2008
West Bushwick 203K,1225 Broadway Brooklyn NY 11221 ,3/9/2009,2008,2008
West Bushwick 203K,1248 Willoughby Avenue Brooklyn NY 11237,3/9/2009,2008,2008
West Bushwick 203K,1278 Putnam Avenue Brooklyn NY 11221,3/9/2009,2008,2008
West Bushwick 203K,1289 Greene Avenue Brooklyn NY 11237 ,3/9/2009,2008,2008
West Bushwick 203K,1463 Greene Avenue Brooklyn NY 11237,3/9/2009,2008,2008
West Bushwick 203K,184 Wyckoff Avenue Brooklyn NY 11237 ,3/9/2009,2008,2008
West Bushwick 203K,187 Schaefer Street Brooklyn NY 11207 ,3/9/2009,2008,2008
West Bushwick 203K,192 Irving Avenue Brooklyn NY 11237 ,3/9/2009,2008,2008
West Bushwick 203K,233 Troutman Street Brooklyn NY 11237,3/9/2009,2008,2008
West Bushwick 203K,234 Troutman Street Brooklyn NY 11237,3/9/2009,2008,2008
West Bushwick 203K,255 Wyckoff Avenue Brooklyn NY 11237,3/9/2009,2008,2008
West Bushwick 203K,261 Stockholm Street Brooklyn NY 11237,3/9/2009,2008,2008
West Bushwick 203K,268 Jefferson Street Brooklyn NY 11237,3/9/2009,2008,2008
West Bushwick 203K,306 Troutman Street Brooklyn NY 11237,3/9/2009,2008,2008
West Bushwick 203K,421 Suydam Street Brooklyn NY 11237,3/9/2009,2008,2008
West Bushwick 203K,49 Troutman Street Brooklyn NY 11206 ,3/9/2009,2008,2008
West Bushwick 203K,669 Central Avenue Brooklyn NY 11207 ,3/9/2009,2008,2008
West Bushwick 203K,678 Central Avenue Brooklyn NY 11207,3/9/2009,2008,2008
West Bushwick 203K,854 Hart Street Brooklyn NY 11237 ,3/9/2009,2008,2008
West Bushwick 203K,860 Hart Street Brooklyn NY 11237 ,3/9/2009,2008,2008
West Bushwick 203K,97 Central Avenue Brooklyn NY 11206 ,3/9/2009,2008,2008
Esperanza TPT,161 Bleecker Street Brooklyn NY 11221,1/9/2009,2008,2008
West Bushwick NRP,149 Starr Street Brooklyn NY 11237,12/9/2008,2008,2008
West Bushwick NRP,174 Stockholm Street Brooklyn NY 11237,12/9/2008,2008,2008
West Bushwick NRP,235 Stanhope Street  Brooklyn NY 11237,12/9/2008,2008,2008
West Bushwick NRP,32 Irving Avenue Brooklyn NY 11237,12/9/2008,2008,2008
West Bushwick NRP,73 Wyckoff Avenue Brooklyn NY 11237,12/9/2008,2008,2008
Himrod Street,165 Himrod Street Brooklyn NY 11237,1/1/2008,2008,2008
West Bushwick TPT,306 Grove Street Brooklyn NY 11237,3/7/2008,2007,2007
West Bushwick TPT,310 Grove Street Brooklyn NY 11237,3/7/2008,2007,2007
West Bushwick TPT,324 Harman Street Brooklyn NY 11237,3/7/2008,2007,2007
Melrose Street Apartments,63 Central Avenue Brooklyn NY 11206,4/1/2007,2007,2007
West Bushwick NRP,1475 Myrtle Avenue  Brooklyn NY 11237,12/9/2008,2006,2006
West Bushwick NRP,30 Wyckoff Avenue Brooklyn NY 11237,12/9/2008,2006,2006
West Bushwick NRP,311 Harman Street Brooklyn NY 11237,12/9/2008,2006,2006
West Bushwick NRP,317 Jefferson Street Brooklyn NY 11237,12/9/2008,2006,2006
West Bushwick NRP,320 Jefferson Street Brooklyn NY 11237,12/9/2008,2006,2006
West Bushwick NRP,44 Irving Avenue Brooklyn NY 11237,12/9/2008,2006,2006
